Mix_ID;Cement;Water;NCA;NFA;RCA_P;MRCA_P;RFA_P;Silica_Fume;Fly_Ash;RHA_P;Nylon_Fiber;Fiber_Type;SP;W_C;Agg_Size;Slump;Density;CS_7;CS_28;CS_90;STS;FS;EM;Water_Abs;UPV;Shrinkage;Carb_Depth;Cl_Perm;CO2;Energy;Cost;ACV;Sp_Gravity;Sustainability;Is_Synthetic
CC_Standard;360;144;1209;686;0;0;0;0;0;0;0;0;4.32;0.4;16;80;2400;0;54.2;0;4.05;4.79;34.6;0;4555;0;0;0;318.5;0;68.85;0;2.61;0.0005;0
RR70/70_Gen3;245;144;364;686;0;70;0;43;72;0;0;0;3.96;0.4;16;40;2300;0;66;0;4.47;5.28;38.18;0;4850;0;0;0;217.85;0;57.04;0;2.42;0.001;0
C-35_Ref;350;175;1100;700;0;0;0;0;0;0;0;0;2;0.5;19;100;2350;0;36.5;0;3.32;3.93;28.4;0;4112;0;0;0;307.9;0;62.9;0;2.5;0.0003;0
PC-R100;312;109;0;0;100;0;0;0;0;0;0;0;0;0.349;20;0;1800;0;13.06;0;1.99;2.35;16.99;0;3526;0;0;0;265.2;0;31.2;0;2.1;0.0003;0
RA50;500;175;470;783;50;0;0;0;0;0;0;0;1.5;0.35;12;120;2400;0;84.15;99;5.05;6.2;43.11;0;4900;0;0;0;432.32;0;68.7;0;2.55;0.0005;0
WP30RA25;350;175;688;783;25;0;0;0;150;0;0;0;3.75;0.35;12;120;2380;0;81.6;96;4.97;5.9;42.46;0;4850;0;0;0;308.98;0;64.84;0;2.48;0.0008;0
RA00;500;175;939;783;0;0;0;0;0;0;0;0;1.5;0.35;12;180;2450;0;74.8;88;4.76;5.62;40.64;0;5100;0;0;9.3;434.66;0;75.73;0;2.6;0.0004;0
RA50;500;175;470;783;50;0;0;0;0;0;0;0;1.5;0.35;12;160;2400;0;84.1;99;5.05;5.96;43.1;0;4900;0;0;4.2;432.32;0;68.7;0;2.5;0.0005;0
WP30RA25;350;175;688;783;25;0;0;0;150;0;0;0;3.75;0.35;12;140;2380;0;81.6;96;4.97;5.87;42.46;0;4850;0;0;1.1;308.98;0;64.84;0;2.48;0.0008;0
100R-21;320;190;0;750;100;0;0;0;0;0;0;0;1.2;0.594;19;90;2300;0;21;0;2.52;2.98;21.54;0;3800;0;0;0;276.59;0;42.8;0;2.2;0.0003;0
100R-28;380;190;0;700;100;0;0;0;0;0;0;0;2;0.5;19;85;2320;0;28;0;2.91;3.44;24.87;0;4050;0;0;0;327.9;0;49.4;0;2.25;0.0003;0
PC-R100_Zaetang;316;76;0;0;100;0;0;0;0;0;0;0;2.4;0.241;10;0;1850;0;13.1;0;1.99;2.35;16.99;0;3500;0;0;0;270.28;0;35.2;0;2.1;0.0002;0
20F-12S-RR70/70;245;144;364;686;0;70;0;43;72;0;0;0;3.96;0.4;16;50;2300;0;66;81;4.47;5.28;38.18;0;4450;0;0;0;217.85;0;57.04;0;2.42;0.001;0
20F-Ref;288;144;1209;686;0;0;0;0;72;0;0;0;3.6;0.4;16;100;2380;0;59.9;0;4.26;5.03;36.38;0;4698;0;0;0;257.51;0;62.73;0;2.5;0.0007;0
12S-Ref;317;144;1209;686;0;0;0;43;0;0;0;0;4.32;0.4;16;60;2430;0;76.8;0;4.82;5.7;41.19;0;5120;0;0;0;282.81;0;75.3;0;2.6;0.0007;0
20F-12S-RR30/30;245;144;846;686;0;30;0;43;72;0;0;0;3.96;0.4;16;40;2300;0;58.2;0;4.2;4.96;35.86;0;4655;0;0;0;220.26;0;64.27;0;2.4;0.0008;0
C-21-Ref;320;185;1150;750;0;0;0;0;0;0;0;0;1;0.578;19;90;2350;0;22.4;0;2.6;3.08;22.24;0;3760;0;0;0;282.2;0;59.75;0;2.3;0.0002;0
100R-17;290;195;0;700;100;0;0;0;0;0;0;0;0.5;0.672;19;80;2280;0;15.1;0;2.14;2.53;18.26;0;3578;0;0;0;250.35;0;38.15;0;2.1;0.0003;0
